层级,梯元,梯元id,重数,使用汉字
0,H,,686,
0,N,,565,
0,S,,553,
0,Z,,390,
0,P,,341,
0,G,,311,
1,HS,2254,126,"丁,十,厂,丈,下,大,寸,丐,世,丘,严,丰,主,丽,乍,乒,乖,乘,乱,乾,井,开,亚,什,仗,伏,休,优,估,佑,伴,住,体,作,佳,侄,例,侍,侯,侵,俐,保,俯,倒,倔,候,倚,借,倦,债,值,假,偏,偷,储,催,傲,僵,僻,儒,儡,先,克,兢,全,兵,兼,兽,军,准,凌,减,凑,凛,凭,出,击,凿,刊,刑,判,利,刮,到,刷,刺,剧,剩,劈,功,励,劲,劳,势,勃,勒,勤,匪,匹,医,匾,千,干,升,午,半,华,卒,南,卡,卦,危,却,厅,历,厉,压,厌,厕,厘,厚,原,厢,厨,变,叛,古,吭,启,吵,呆,呢,周,呻,咆,和,咕,咸,哀,响,哎,哗,哥,哪,哮,哲,唇,唐,唠,售,唯,唾,啡,啥,喇,喉,喊,喜,喳,嗓,嗜,嗦,嗽,嘉,嘲,嘶,嘿,噩,囊,困,固,土,士,工,圣,在,场,圾,均,坊,坏,坑,坚,坛,坝,赤,坞,坟,坠,坡,坪,坷,垂,垃,垄,型,垒,垛,垢,垦,垫,垮,埂,埃,埋,城,域,埠,培,堆,堡,堤,堪,堰,塌,塔,塘,填,境,墅,墓,墙,增,墨,墩,壁,壕,壤,壮,声,壳,壶,壹,太,犬,夫,失,奇,奔,套,奸,妓,妖,妙,妹,姑,姓,委,姚,姜,姥,娃,娄,娜,婶,婿,媒,媳,嫂,嫉,嫌,嫩,嬉,孝,孽,宋,审,室,宪,宰,宽,宾,宿,密,寝,寺,封,尉,尘,尤,支,就,尸,尺,尼,尾,屁,层,居,屈,屉,届,屋,屎,屏,屑,展,屠,屡,履,岔,岳,岸,峦,崇,崎,崖,崩,崭,嵌,巍,巢,左,巧,巩,差,帚,带,席,帮,年,并,幸,幽,广,庄,庆,庇,床,序,底,庙,府,庞,度,座,庭,庵,庶,廉,廊,廓,弃,弄,弊,弯,形,彩,彬,彭,彰,往,径,待,徒,循,德,志,怎,思,性,怪,总,恃,恋,恐,恕,恬,悉,悲,悴,悼,惜,惭,想,惹,愁,愉,感,愿,慌,慕,慧,慰,憔,憨,憾,懒,懦,截,戳,戴,扁,扇,才,扫,扬,扯,扳,扶,抒,抖,折,抚,护,报,抹,拄,拆,拇,拌,拐,招,拜,择,括,拴,拾,挚,挤,挥,挪,捅,捆,捍,捞,损,捧,据,捶,捷,掀,探,推,掰,掷,揉,揍,描,提,插,握,揪,揭,搁,搂,搓,搔,搜,搞,搪,搭,携,摆,摇,摊,摔,摧,摩,摸,撒,撕,撬,撮,撵,撼,擂,擎,擒,攀,攒,攻,救,教,敢,散,敬,数,整,斑,斗,料,斜,斟,斥,斧,斩,断,斯,新,旷,昔,星,映,昧,昨,昵,晋,晕,普,晰,暂,暇,暑,曙,曹,替,朝,朦,木,未,末,本,术,朱,朴,朵,机,朽,权,杆,杈,杉,李,杏,材,村,杖,杜,杠,束,来,杨,杭,杯,杰,松,板,极,构,枉,析,枕,林,果,枝,枪,枫,枯,架,枷,柄,柏,某,柑,柒,染,柔,柜,柠,查,柬,柱,柳,柿,栅,标,栋,栏,树,栓,栖,栗,校,株,样,核,根,格,栽,桂,桃,桅,框,案,桐,桑,档,桥,桦,桩,桶,梁,梅,梆,梗,梢,梦,梧,梨,梭,梯,械,梳,检,棉,棋,棍,棒,棕,棚,棠,森,棱,棵,棺,椅,植,椎,椒,椭,椰,椿,楔,楚,楞,楣,楷,楼,概,榄,榆,榔,榕,榛,榜,榨,榴,槐,槽,樊,樟,模,横,樱,橄,橘,橙,橡,橱,檀,檐,檩,檬,欣,款,歉,歌,此,歧,殃,殊,段,殿,毁,毕,氢,汗,江,汪,沐,沫,沽,注,洗,活,洼,济,浑,浙,浦,浸,涌,涝,涮,涯,淋,淘,淫,淮,深,清,渊,渐,渡,渣,渤,湃,湘,湾,湿,滓,滞,满,滩,漆,漏,漱,漾,潜,澄,澎,澜,濒,灌,炸,烟,烦,焚,焦,然,煎,煞,煤,熏,熙,熬,燃,燥,牍,牙,牛,牡,牢,牧,物,牲,牵,特,牺,犀,犁,状,犹,狂,狐,狱,猫,猬,献,率,玉,王,玖,玩,玫,环,现,玲,玻,珊,珍,珠,班,球,琅,理,琉,琢,琳,琴,琼,瑞,瑟,瑰,璃,璧,瓢,瓣,瓶,甜,生,甥,男,画,畔,略,畸,疆,疙,疚,疟,疤,疫,疮,疯,疲,疹,疼,疾,病,症,痊,痒,痕,痘,痛,痢,痪,痰,痴,痹,瘟,瘤,瘦,瘩,瘪,瘫,瘸,瘾,癌,癞,癣,登,百,盐,盛,相,盾,眉,眶,睡,督,睦,睬,睹,瞄,瞒,瞧,瞪,瞬,瞭,瞻,知,矩,矫,短,矮,矾,矿,码,砂,砖,砚,砾,硕,碎,碑,碟,碧,碴,碾,磅,磨,磷,磺,礁,社,祈,祟,祷,禀,禁,离,禽,禾,秀,私,秃,秆,秉,秋,种,科,秒,秕,秘,租,秤,秧,秩,秫,积,称,秸,移,秽,稀,程,稍,税,稚,稠,稳,稻,稼,稽,稿,穆,穗,窑,窒,窜,窟,窥,窿,章,竹,竿,笙,筐,箱,篇,篓,篱,籍,米,籽,粉,粒,粗,粘,粟,粤,粥,粮,粱,粹,精,糊,糕,糖,糙,糜,糟,糠,素,索,红,纤,约,纱,绅,绊,绎,经,绒,给,绣,继,绩,绪,续,维,缅,缕,编,缠,缭,缰,缸,缺,罐,罕,罢,罩,羊,美,羔,羡,群,羹,翅,翔,翠,翩,翻,翼,耀,老,考,者,而,耐,耕,耗,耘,耙,聋,联,聘,聚,聪,肆,肩,肮,胖,胜,胧,脆,脏,腊,腐,腹,腾,膛,膝,膨,臀,臂,臊,至,致,舌,舍,舒,舞,艳,艺,艾,节,芍,芒,芥,芬,芭,芯,花,芳,芹,苍,苏,苔,苗,苞,苟,若,苦,苫,苹,茁,范,茄,茧,茫,茬,茴,茵,茶,茸,荐,荒,荔,荚,荞,荠,荡,荣,荤,荧,药,荷,荸,莱,莲,获,莹,莺,莽,菇,菊,菌,菜,菠,菩,菱,菲,萄,萌,萍,萎,萝,萤,营,萧,萨,落,著,葛,葡,董,葫,葱,葵,蒂,蒋,蒙,蒲,蒸,蒿,蓄,蓉,蓖,蓝,蓬,蔗,蔚,蔫,蔬,蔼,蔽,蕉,蕊,蕴,蕾,薇,薛,薪,藐,藕,藻,蘑,蘸,蚌,蚜,蚪,蚯,蛀,蛙,蛛,蛮,蜘,蜻,蝉,蝌,蝙,蝴,蝶,融,螺,蟀,蟋,蠕,衅,街,衡,表,袁,袄,袜,袱,装,裙,裸,裹,褂,褒,褥,褪,襟,规,解,触,警,譬,讲,许,评,诈,译,诗,话,诡,诱,诺,谁,谋,谍,谎,谓,谜,谣,谦,谨,谭,谴,贼,贾,贿,赃,赖,赘,赚,赞,赡,赦,赫,走,赴,赵,赶,起,趁,超,越,趋,趟,趣,跋,跌,跛,跨,跪,路,跺,踩,踱,蹂,躁,躏,车,软,轰,载,辈,辉,输,辕,辙,辛,辜,辞,辟,辣,辨,辩,辫,辱,述,迷,迹,适,选,透,逝,速,逸,遍,道,遗,遣,遥,遭,遮,避,邢,那,郑,酌,酥,醇,醉,醒,采,释,铁,链,锈,锉,锌,锚,锤,锥,锨,锯,锹,锻,镀,镐,镣,镰,镶,闲,闹,闺,阱,陌,降,陡,陵,隆,随,隐,障,难,雀,雁,雄,雅,集,雇,雌,雏,雕,雪,雳,零,雷,雾,需,震,霉,霍,霎,霜,霞,露,霸,霹,静,非,靠,靡,面,革,鞋,鞠,鞭,韭,顶,顷,项,顽,顾,顿,颁,预,颅,领,颇,颈,颊,频,颓,颖,题,额,颠,颤,飘,饰,饼,馅,香,驮,驯,驹,驻,骄,骑,骗,骡,骤,鬓,魁,魄,魏,魔,鲜,鲤,鳄,鳍,鳞,鸭,鹤,鹰,鹿,麦,麸,麻,黍,黎,黑,黔,默,鼎,鼓,齐"
1,PN,2255,100,"东,个,义,乐,乔,乘,交,亥,亦,亲,人,入,八,今,介,仑,仓,令,以,仪,价,企,众,会,伦,伶,余,供,依,侨,俄,俗,俱,偎,傲,傻,僚,兆,六,文,共,兴,具,典,冀,冈,风,冰,冷,凑,凛,凝,函,分,划,创,刹,刺,刻,剂,剥,办,募,匆,区,协,卒,卤,原,参,叙,吟,吩,含,吹,员,呕,咏,咙,咬,咳,哀,哄,唆,唤,啄,商,喷,嗅,嗦,嗽,嘁,嘶,噪,坎,贡,垄,城,域,塞,填,壤,天,夭,夯,头,奈,奏,契,奔,奕,奖,套,奠,奥,姿,威,娇,娘,嫉,孩,宗,宠,寂,寞,察,寨,尉,小,尔,尖,尿,岔,岖,岗,峻,崇,嵌,巫,巷,希,帘,庞,弊,录,彬,很,徐,微,必,念,忿,恨,恭,恼,悴,惑,惧,愈,愤,慎,慕,慰,慷,懊,戈,戏,成,我,戒,或,战,戚,截,戳,戴,承,抹,拢,拣,挑,挖,换,捺,捻,控,掺,揍,摔,摩,撕,撩,撰,操,擎,擦,攀,攒,收,改,放,政,效,敏,救,教,敛,敞,散,敦,数,整,敷,斜,斟,旅,族,昧,暮,暴,杀,杂,条,林,枚,枢,枣,柴,标,栈,栋,校,株,核,根,桃,桥,桨,桶,梦,梨,械,棋,棕,棘,森,棵,楔,楚,榕,榛,榨,樊,模,横,橘,檩,欠,次,欢,欣,欲,歉,残,殿,毅,毯,氛,氮,水,求,泌,泰,泵,洪,派,浅,浆,浪,浴,涤,涵,淋,深,添,渠,溃,溅,源,溪,滨,漂,漆,漓,演,漠,漱,漾,潦,澈,澡,澳,瀑,灰,灵,灸,灾,炎,炭,炼,烁,烘,烫,焚,熬,燎,爆,父,爹,爽,狠,狡,狼,猴,猿,率,珠,琐,琢,琳,瑟,璃,瓢,瓮,畏,疑,疯,疾,痕,痴,瘸,盆,益,盏,盔,真,眯,瞭,矢,矫,砍,砾,碌,碘,碱,碳,碾,磨,磺,示,祟,票,禀,禁,离,禽,秘,秦,秫,积,穴,闪,究,穷,空,穿,突,窃,窄,窍,窑,窖,窘,窝,窟,窥,窿,竣,竭,笑,笨,笼,筏,策,篱,簇,簸,籍,类,粪,粮,糜,糠,系,紊,素,索,紧,紫,累,絮,繁,纲,纷,纹,线,练,织,绒,绞,综,绿,缤,缭,缴,罕,羡,翁,翎,翠,翼,耸,聋,肉,胧,胶,脊,脐,脑,腐,腔,腿,膜,膝,臀,臭,舆,良,苏,英,茂,茶,荚,荞,荣,荧,莫,莱,莽,葵,蓉,蔑,蔚,蔽,薇,薪,藏,藤,蚊,蛛,蛾,蜈,螟,螺,蟀,蟆,衣,袁,袍,袭,裁,裹,襟,议,论,讼,讽,诊,诚,该,诫,豫,贞,责,贤,货,质,贪,贫,贯,贱,贵,贷,贸,费,贼,贾,赁,资,赊,赏,赘,赛,赞,越,跟,跳,践,躯,躲,载,较,辰,迈,这,迹,退,送,透,递,途,逮,邀,邻,郊,金,鉴,钦,钱,银,镇,镶,阀,际,限,陨,隘,隙,隧,零,靡,页,颁,颂,领,频,颠,飘,飞,食,餐,饮,饺,馍,驱,驳,骡,骤,魔,鸥,鸯,麻,黄,黍,黎,龙"
1,SZ,2256,97,"丙,两,中,临,丸,凡,九,儿,几,事,五,亩,京,亭,亮,仅,他,仲,伊,伍,伯,伺,似,佃,但,何,你,佣,佩,使,侣,侦,侯,便,促,俗,信,俩,俺,倔,倘,候,倚,倡,倾,偎,做,偷,傅,僚,僵,儡,免,兔,兜,典,兽,冀,内,贝,册,再,冕,冯,冲,决,冶,凉,减,凛,凯,凰,凸,则,制,剔,剿,加,助,勇,勉,勋,募,勤,匙,匿,卑,卓,单,博,占,卧,厦,反,叛,口,句,另,叨,只,叫,召,叭,叮,叶,用,甲,申,可,台,史,田,由,右,石,号,甩,电,司,叹,叼,叽,吁,吃,各,名,吆,合,吉,吊,同,吕,后,吐,向,吓,君,吝,吞,吠,吧,吨,含,听,吭,吮,吱,吴,吻,吼,呀,呈,肛,告,呐,呛,呜,呢,周,味,呵,呼,命,咆,咐,咒,咙,咨,咱,咳,咸,咽,品,哄,哆,哈,响,哑,显,哗,哟,哥,哨,哩,哭,哮,哺,哼,唁,唇,唉,唠,唤,唧,唬,售,唱,唾,啃,啄,商,啊,啤,啥,啦,啰,善,喇,喉,喊,喘,喜,喝,喳,喻,嗅,嗓,嗜,嗡,嗤,嘀,嘁,嘉,嘱,嘹,嘿,器,噩,噪,嚎,嚣,嚷,囊,囚,四,回,因,团,囤,园,困,围,固,国,圃,圆,圈,坑,坡,坤,坦,垛,埋,埠,堤,堰,堵,塌,塔,墅,墙,增,处,央,够,奄,奇,奋,契,奕,奠,奢,奥,如,始,娩,娱,婆,婚,婴,嫡,嫩,嬉,孵,安,客,宣,宦,宴,宵,容,寂,寄,富,寒,寞,寡,尚,就,局,属,山,屿,岂,岖,岩,峭,峰,峻,崎,崖,巢,币,市,布,帅,帆,师,帐,帖,帘,帜,帮,常,帽,幅,幌,幔,幕,店,废,康,庸,弛,弹,强,归,旧,彪,影,役,彼,徊,得,快,念,恐,恨,恩,恰,恶,悄,悟,您,悼,情,惊,惠,惦,惫,惯,惰,惹,愉,愕,愚,感,愧,愿,慌,慢,慨,慷,憎,憾,懂,懊,懒,报,披,拍,拓,拘,拙,招,拾,拿,挽,捂,捐,损,捣,捻,掂,掉,掏,掘,掩,措,掸,描,揣,揩,揭,揽,搀,搅,搏,搔,搞,搭,摆,摘,撩,播,擂,擅,操,擎,故,敌,敬,敲,整,敷,旁,既,日,月,旦,早,旬,昆,昌,明,昏,易,昙,春,昭,是,晌,晒,晕,晚,晤,晨,景,晴,晶,智,晾,暑,暮,暴,曙,曲,更,有,服,朗,朵,束,枷,柬,格,桌,桐,桶,梗,梧,梳,棠,椅,椿,楷,概,榄,榆,榕,榴,槐,模,横,樱,橘,檀,檐,檩,欲,歇,歌,殷,毫,汉,汛,河,治,沼,沾,沿,泊,波,泥,泵,泼,泽,洁,洒,洛,洽,流,浦,浩,浴,消,涌,涣,润,涧,涮,淆,淌,淳,淹,温,渴,湖,溃,溉,源,溜,溯,溶,滑,满,滤,滥,滴,漏,演,漠,漫,漱,潘,潦,澄,澈,澜,澡,澳,激,灌,炕,炭,点,烙,烛,焕,煎,煮,熄,熔,熟,燎,燕,版,牌,狈,狗,狞,独,狮,狸,猎,猖,猛,猜,猪,猫,猬,猴,猾,玷,玻,理,琉,琼,瓣,瓤,甜,甫,画,界,畏,畔,留,畜,略,番,畴,畸,疆,疏,疲,痛,痪,痴,瘟,瘤,瘪,瘸,癌,癞,癣,白,的,皆,皮,皱,盅,监,盒,盗,盘,盟,盲,着,睛,瞄,瞎,瞒,瞭,瞻,知,短,矾,矿,码,砌,砚,砰,砸,硕,硝,硫,硬,确,硼,碉,碍,碎,碑,碗,碘,碟,碧,碱,碳,碾,磁,磨,磺,祖,祝,神,祠,祸,禀,福,稀,稠,稿,穗,窒,窖,窗,窘,窥,竖,站,端,笛,笤,筒,答,筛,筷,简,箍,篙,篮,簸,粘,粤,粱,精,糊,糖,糙,糯,紧,累,絮,纳,绅,细,织,绍,结,给,络,绢,绰,绳,绵,绸,缆,缨,缩,缭,缰,缴,缸,缺,罐,网,罢,置,署,翼,耍,耽,聊,职,肉,肌,肖,肥,肮,肯,育,肴,肺,肾,胀,胃,背,胎,胖,胡,胰,胳,胶,脂,脉,脏,脑,脓,脖,脯,脾,腌,腐,腮,腰,腺,腻,腾,腿,膀,膏,膘,膛,膜,膨,膳,臀,臂,臣,舅,舆,舟,航,舰,舵,舶,舷,船,艘,苔,苗,苛,若,苫,茄,茅,茎,茧,茴,草,荒,荣,荷,莫,菠,萌,萤,营,落,葛,葡,葫,蒙,蒲,蒿,蓝,蔬,蔼,蕊,蕴,蕾,薯,藏,藕,蘑,蘸,虑,虫,虽,虾,蚀,蚁,蚂,蚌,蚓,蚕,蚣,蚤,蚪,蚯,蛀,蛇,蛉,蛔,蛛,蛤,蛮,蛹,蛾,蜀,蜂,蜈,蜒,蜓,蜕,蜗,蜘,蜜,蜡,蜻,蝇,蝉,蝌,蝎,蝗,蝙,蝠,蝴,蝶,螟,螺,蟀,蟆,蟋,蟹,蠢,衙,衡,衷,袖,被,裕,裳,裸,褐,西,观,规,视,览,角,言,誉,誊,誓,警,譬,识,词,询,语,误,诵,请,诸,诺,课,调,谅,谆,谊,谎,谒,谓,谨,谭,谴,谷,豁,豫,负,贩,贬,贰,贱,贴,贵,贺,贿,赂,赊,赌,赎,赐,赔,赖,赚,赠,赡,赢,趟,足,趴,跃,跋,跌,跑,跛,距,跨,跪,路,跳,践,跷,跺,踊,踏,踢,踩,踪,踱,蹂,蹄,蹈,蹋,蹦,蹬,蹭,蹲,躁,躏,身,躲,躺,轴,辅,辆,辐,辑,输,辙,辣,迫,追,递,通,逞,速,造,逻,逾,遇,遗,遣,遭,遵,邀,邑,邦,郁,都,鄙,酪,酷,醋,醒,里,重,量,钝,钠,铆,铜,铝,铭,铺,销,锁,锅,错,锚,镐,镣,门,闭,问,闯,闰,闲,间,闷,闸,闹,闺,闻,闽,阀,阁,阎,阐,阔,阳,阿,陆,陋,陶,隅,隔,雕,雨,雷,雹,露,青,靖,靴,靶,鞋,鞍,鞠,鞭,顺,须,颂,颇,颓,颗,题,颜,额,颤,饥,饭,饱,饲,饶,馆,馋,馍,馏,馒,驰,驶,驼,驾,骂,骆,骚,骨,高,鬼,魁,魂,鱼,鲁,鲜,鲤,鲫,鲸,鳄,鳍,鳖,鳞,鸠,鸣,鸵,鸽,鹃,鹅,鹊,鹏,鹦,黄,鼎,鼻,龟"
2,HGT,2111,76,"扎,扑,扒,打,扔,托,扛,扣,执,扩,扭,扮,扰,扶,批,扼,找,技,抄,把,抑,抓,投,抖,抗,折,抛,抠,抡,抢,护,披,抬,抱,抵,抹,押,抽,拂,担,拌,拍,拒,拓,拔,拖,拗,拘,拙,拟,拢,拣,拥,拦,拧,拨,括,拭,拯,拱,拴,拷,拼,持,挂,指,按,挎,挑,挖,挟,挠,挡,挣,挤,挥,挨,挪,挫,振,挺,挽,捂,捉,捌,捍,捎,捏,捐,捕,捞,捡,换,捣,捧,据,捶,捷,捺,捻,掀,掂,授,掉,掏,掐,排,掖,掘,掠,探,控,推,掩,措,掸,掺,揉,揍,描,提,插,揖,握,揣,揩,揪,援,揽,搀,搂,搅,搏,搓,搞,搬,摄,摇,摔,摘,摧,摸,撇,撑,撒,撕,撞,撤,撩,播,撰,撵,撼,擅,操,擒,擦,攒,攘,浙,热,蛾,鹅"
